date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:45	195909/195909	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2015:35:44%20GMT	https://ee.yellowcat.solutions/	C:/My%20Web%20Sites/eenovators-v6/ee.yellowcat.solutions/index.html	(from )
18:35:45	114/114	---MCZ	200	added ('OK')	text/plain	date:Wed,%2010%20Sep%202025%2015:35:45%20GMT	https://ee.yellowcat.solutions/robots.txt		(from )
18:35:47	224/224	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Sep%202025%2015:35:46%20GMT	http://maps.google.com/	C:/My%20Web%20Sites/eenovators-v6/maps.google.com/index.html	(from https://ee.yellowcat.solutions/)
18:35:47	108225/108225	---MCZ	200	added ('OK')	text/css	etag:W/%22689f184d-1a6c1%22	https://ee.yellowcat.solutions/wp-content/plugins/wp-google-map-plugin/assets/css/wpgmp_all_frontend.css?ver=4.8.3	C:/My%20Web%20Sites/eenovators-v6/ee.yellowcat.solutions/wp-content/plugins/wp-google-map-plugin/assets/css/wpgmp_all_frontend7bcd.css	(from https://ee.yellowcat.solutions/)
18:35:47	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2015:35:46%20GMT	http://fonts.googleapis.com/	C:/My%20Web%20Sites/eenovators-v6/fonts.googleapis.com/index.html	(from https://ee.yellowcat.solutions/)
18:35:47	20146/20146	---MC-	200	added ('OK')	application/rss+xml	etag:%22098ec635c3b994aa3c96db3ad80be529%22	https://ee.yellowcat.solutions/feed/	C:/My%20Web%20Sites/eenovators-v6/ee.yellowcat.solutions/feed/index.html	(from https://ee.yellowcat.solutions/)
18:35:47	683/683	---M--	200	added ('OK')	application/rss+xml	etag:%22098ec635c3b994aa3c96db3ad80be529%22	https://ee.yellowcat.solutions/comments/feed/	C:/My%20Web%20Sites/eenovators-v6/ee.yellowcat.solutions/comments/feed/index.html	(from https://ee.yellowcat.solutions/)
18:35:48	106130/106130	---MCZ	200	added ('OK')	text/css	etag:W/%226863ddbf-19e92%22	https://ee.yellowcat.solutions/wp-content/plugins/addons-for-divi/assets/css/modules-style.css?ver=4.2.1	C:/My%20Web%20Sites/eenovators-v6/ee.yellowcat.solutions/wp-content/plugins/addons-for-divi/assets/css/modules-style50fa.css	(from https://ee.yellowcat.solutions/)
18:35:48	6852/6852	---MCZ	200	added ('OK')	text/css	etag:W/%226863ddbf-1ac4%22	https://ee.yellowcat.solutions/wp-content/plugins/addons-for-divi/assets/libs/magnific-popup/magnific-popup.css?ver=4.2.1	C:/My%20Web%20Sites/eenovators-v6/ee.yellowcat.solutions/wp-content/plugins/addons-for-divi/assets/libs/magnific-popup/magnific-popup50fa.css	(from https://ee.yellowcat.solutions/)
18:35:48	9068/9068	---MCZ	200	added ('OK')	text/css	etag:W/%226863ddbf-236c%22	https://ee.yellowcat.solutions/wp-content/plugins/addons-for-divi/assets/css/frontend.css?ver=4.2.1	C:/My%20Web%20Sites/eenovators-v6/ee.yellowcat.solutions/wp-content/plugins/addons-for-divi/assets/css/frontend50fa.css	(from https://ee.yellowcat.solutions/)
